label,war89to98
AFG,1
ALB,0
ALG,1
ANG,1
ARG,0
AUL,0
AUS,0
BAH,1
BEL,0
BEN,0
BFO,0
BHU,0
BNG,0
BOL,0
BOT,0
BRA,0
BUI,1
BUL,0
CAM,1
CAN,1
CAO,0
CDI,0
CEN,0
CHA,0
CHL,0
CHN,0
COL,1
COM,0
CON,1
COS,0
CUB,1
CYP,0
CZE,0
DEN,0
DJI,0
DOM,0
DRC,1
DRV,1
ECU,0
EGY,1
EQG,0
ETH,1
FIN,0
FJI,0
FRN,1
GAB,0
GAM,0
GDR,0
GFR,0
GHA,0
GNB,1
GRC,0
GUA,0
GUI,0
GUY,0
HAI,0
HON,0
HUN,0
IND,1
INS,0
IRE,0
IRN,0
IRQ,1
ISR,0
ITA,1
JAM,0
JOR,0
JPN,0
KEN,0
KUW,1
LAO,0
LBR,1
LEB,1
LES,0
LIB,0
LUX,0
MAA,0
MAG,0
MAL,0
MAW,0
MEX,0
MLI,0
MON,0
MOR,1
MYA,1
MZM,1
NEP,0
NIC,1
NIG,1
NIR,0
NOR,0
NTH,0
OMA,1
PAK,0
PAN,0
PAR,0
PER,1
PHI,1
PNG,0
POL,0
POR,0
PRK,0
QAT,1
ROK,0
RUM,1
RUS,1
RWA,1
SAF,1
SAL,1
SAU,1
SEN,0
SIE,1
SIN,0
SOM,1
SPN,0
SRI,1
SUD,1
SWA,0
SWD,0
SWZ,0
SYR,1
TAW,0
TAZ,1
THI,0
TOG,0
TRI,0
TUN,0
TUR,1
UAE,1
UGA,0
UK,1
URU,0
USA,1
VEN,0
YEM,1
YPR,0
YUG,1
ZAM,0
ZIM,1
