year,muv
2012,119.9366137644
2011,122.5227870309
2010,112.9478483545
2009,109.348797549
2008,117.0922601322
2007,108.582919685
2006,102.1731333978
2005,100
2004,97.1271878604
2003,90.1908901118
2002,84.309401574
2001,84.8315118905
2000,89.3318036168
1999,91.0571707565
1998,93.0824632678
1997,97.8900727067
1996,104.4079509024
1995,107.7456958027
1994,98.5760149563
1993,98.3424058639
1992,97.7956384358
1991,96.2955859905
1990,96.6024441141
1989,93.0511222465
1988,93.6120207178
1987,87.9063293724
1986,80.218152051
1985,69.7448237001
1984,70.4797941106
1983,72.0657828914
1982,74.0289275408
1981,76.3015334156
1980,76.2144974459
1979,69.2903025251
1978,62.1146703585
1977,53.4497560441
1976,49.446101439
1975,48.8465203146
1974,43.9821766761
1973,36.0909154255
1972,31.1201944907
1971,28.528456727
1970,27.1262105489
1969,25.501539115
1968,24.2056702331
1967,24.4184248257
1966,24.2056702331
1965,23.3449811997
1964,23.1225559438
1963,22.803424055
1962,23.2289332401
1961,22.803424055
1960,22.3682442066
